id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15143586,Urban Retreat in Heart of Convention Center Dist,96040278,Michele & Michael,,CBD,39.74511,-104.99288,Entire home/apt,225,29,307,2024-03-18,3.48,1,0,40,2020-BFN-0004717
15303547,Comfortable Business Travel Denver,80505094,Aana,,Lowry Field,39.71123,-104.8937,Entire home/apt,59,29,45,2021-05-31,0.52,1,175,0,
15344781,"Bright, relaxing getaway",42862500,Linda,,Stapleton,39.74816,-104.89858,Private room,50,5,186,2023-10-31,2.05,1,279,6,2020-BFN-0001883
15378908,"Carriage House Loft,  History in central LoHi",3120399,Marianne,,Highland,39.76243,-105.01165,Entire home/apt,137,29,135,2024-03-02,1.49,2,240,3,
15409638,The Aristocrat - 3800 sqft Denver Loft w/ HUGE Pat,98259634,Skyline Denver,,CBD,39.74085,-104.99289,Entire home/apt,681,2,137,2024-01-29,1.52,5,336,13,2021-BFN-0009769
15422123,Queen Anne Victorian central Denver,25545378,Barbara,,Whittier,39.75553,-104.97156,Entire home/apt,150,32,4,2022-09-07,0.05,1,173,0,2021-BFN-0000659
15425189,The Colorado - Extravagant Downtown Loft 3800 sqft,98259634,Skyline Denver,,Civic Center,39.73924,-104.99302,Entire home/apt,546,2,142,2023-11-19,1.59,5,341,10,2021-BFN-0009769
15436226,The Executive! Stunning Downtown Loft! Great Views,98259634,Skyline Denver,,Civic Center,39.73956,-104.99492,Entire home/apt,606,2,121,2024-01-20,1.34,5,336,3,2021-BFN-0009769
15450647,Best Location and Views in Denver From 30th Floor!,46662008,Jason,,CBD,39.74528,-104.99633,Entire home/apt,,30,27,2023-08-07,0.31,1,1,2,
15452554,Private Bedroom and Bath Close to Downtown,1093754,Darren,,Five Points,39.75434,-104.97749,Private room,60,1,387,2024-03-23,4.26,2,72,64,2017-BFN-0007337
15509056,Capitol Hill Retreat,43953355,Jerry And Alejandro,,Cheesman Park,39.73591,-104.97055,Entire home/apt,120,2,292,2024-03-23,3.22,1,303,23,2017-BFN-0002293
15535982,Semi private dorm in shared house E,24483378,Bailey,,West Highland,39.76755298334367,-105.05270810764361,Shared room,29,1,189,2024-01-11,2.09,21,18,19,
15536986,Highlands Area Private Basement with Living Room,90713031,Renee And Miguel,,Berkeley,39.77701,-105.03584,Entire home/apt,116,3,117,2023-11-27,1.30,1,174,12,2017-BFN-0001315
15545614,38th floor Spire 1 BR with incredible view!,25398085,Ashley,,CBD,39.74554,-104.99469,Entire home/apt,,31,0,,,1,0,0,
15583685,603 Elati St Denver 1st Floor Apt -30 Day Minimum,100182237,John,,Lincoln Park,39.72612,-104.99366,Entire home/apt,51,29,298,2023-05-31,3.43,3,55,2,
15599291,"Amazing Downtown Condo 'Location, Location'",100535512,Michael And Donna,,Union Station,39.75081,-104.99587,Entire home/apt,117,30,23,2022-11-19,0.25,2,242,0,
15602226,Nice house w/ huge yard in desirable Neighborhood,34017443,Jessica,,Montclair,39.73236,-104.91954,Entire home/apt,132,29,93,2024-01-01,1.04,1,246,5,
15644895,Beautiful 1/2 Duplex in Cherry Creek,100934543,Christie,,Cherry Creek,39.71542,-104.94251,Entire home/apt,220,3,152,2024-03-25,1.70,1,219,13,2020-BFN-0003037
15654529,"Quiet & Cozy, Private Room Near Downtown Denver",101037170,Michael,,North Park Hill,39.75697,-104.91488,Private room,90,1,96,2019-09-21,1.09,1,89,0,2017-BFN-0001608
15674568,Private Apartment with Luxury Finishes - 1bd/1ba,101160372,Travis,,University,39.66913,-104.96574,Entire home/apt,111,3,215,2024-03-10,2.41,1,55,25,2017-BFN-0000009
15727510,Modern Home in Vibrant NW Denver,6806562,Larisa,,Regis,39.78884,-105.03535,Entire home/apt,105,60,5,2021-11-01,0.12,1,88,0,
15743145,Double Master Unit in Gorgeous Victorian Mansion,6294270,Dan,,Cole,39.770382,-104.96701,Entire home/apt,170,2,326,2024-03-10,3.66,2,139,46,2022-BFN-0004518
15746223,"Cozy apartment, easy access to everything",3842099,Eva,,West Colfax,39.73944,-105.03462,Entire home/apt,77,2,349,2024-03-04,3.94,1,106,44,2016-BFN-0008526
15764973,Stylish Townhome 10 Mins West of Downtown Denver!,19967554,Jason,,Villa Park,39.73256,-105.04883,Entire home/apt,85,30,173,2024-01-20,1.92,1,60,47,2016-BFN-0007985
15766497,"Private, Clean, Convenient , Downtown Studio",63262656,Jacob,,Five Points,39.75639,-104.97396,Entire home/apt,70,2,382,2024-03-14,4.29,1,55,41,2018-BFN-0006901
15788708,Unique Historic Victorian Mansion near Downtown,102132807,Jay,,City Park West,39.75021,-104.97003,Entire home/apt,413,2,140,2024-03-03,1.56,3,334,12,2023-BFN-0010312
