id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
655574271572031131,Heart of Back Bay! Close to Prudential Center,423270067,Harry And Susie,,Back Bay,42.34529304820844,-71.08337922800254,Entire home/apt,362,1,10,2024-03-03,2.48,27,313,10,Exempt: This listing is a hotel or motel
655997096618398320,Private floor + private room in a house with dogs,5681297,Matt,,Roslindale,42.28169,-71.1226,Private room,195,2,10,2023-08-07,0.48,4,42,4,STR-464402
657181194249044642,"Room in a bright, mid century modern condo",260348754,Ashlee,,Dorchester,42.28435,-71.05825,Private room,80,29,23,2023-11-19,3.27,1,179,23,STR-537009
658610117757260264,Beautiful Studio Great Location! Back Bay/Kenmore,331225367,Foster,,Fenway,42.34881,-71.09193,Entire home/apt,158,1,71,2024-03-11,3.44,70,149,45,STR-543851
658616819945465934,Bright Studio in Gorgeous Brownstone,409684302,Justin And Mandy,,South End,42.3414,-71.07852,Entire home/apt,280,14,0,,,35,300,0,Exempt: This listing is a hotel or motel
658713146354442625,Luxurious Fenway 2BR Penthouse w/ Roof Deck,275849638,Steven,,Fenway,42.34938,-71.09293,Entire home/apt,638,1,122,2024-03-19,5.80,72,297,64,STR-476581
658755874410003182,"Sun-filled, 2 bed w/ in-unit laundry & central air",266312920,STARS Of,,Roxbury,42.33591,-71.08494,Entire home/apt,208,30,2,2023-07-15,0.19,28,80,2,Exempt: This listing is a unit used for furnished institutional or business stays
658765857439531363,"Northeastern,Boston Medical,in unit laundry,C/A",31340713,Kama,,Roxbury,42.3364,-71.08554,Entire home/apt,175,29,14,2023-11-05,1.33,29,142,14,Exempt: This listing is a unit used for furnished institutional or business stays
658810825479859452,Cheerful 2-bedroom home with backyard and patio,13271600,Carol,,Jamaica Plain,42.30711180000001,-71.1121067,Entire home/apt,350,29,11,2023-08-07,0.54,1,82,6,STR-479745
659156386290642679,"Blueground | Beacon Hill, fully furnished",107434423,Blueground,,Back Bay,42.348129,-71.080849,Entire home/apt,188,32,1,2023-05-18,0.10,372,329,1,
659421034687309149,"Basement Studio w/ Kitchenette, Privacy, NEW BED!",9076046,Grant,,Roslindale,42.27901,-71.1153,Entire home/apt,98,1,110,2024-03-03,6.25,1,261,67,STR-544977
659511501225097577,"Luxury 1 bed w/ loft & 2 bath, in-unit laundry",31340713,Kama,,South End,42.34041,-71.06949,Entire home/apt,208,180,1,2023-10-29,0.20,29,306,1,
659575049631716636,"Luxury 1 bed w/ loft & 2 bath, in-unit laundry",266312920,STARS Of,,South End,42.34218,-71.06928,Entire home/apt,208,180,0,,,28,306,0,
660152992531541857,Modern Living in  fenway heart high-end building,163848078,Adam,,Fenway,42.34356,-71.10274,Entire home/apt,299,29,0,,,92,364,0,Str-063579
660750253855523277,Modern Apt Central to Logan Airport & Downtown,470775244,Maria,,East Boston,42.36759,-71.03371,Entire home/apt,164,2,96,2024-03-18,4.94,1,140,58,STR-545823
660763432786377137,Beautiful  single family house built on a hill,344700889,Jeff,,West Roxbury,42.2945,-71.13955,Entire home/apt,421,1,52,2024-03-24,2.50,1,327,34,STR-468297
660804988514976374,Lovely 2 Br 2 Ba apt with balcony steps Back Bay,158837906,Dan,,South End,42.34536,-71.06542,Entire home/apt,249,29,5,2022-11-22,0.25,10,365,0,STR-453687
660852553947772343,Great Value Studio in South End!,409684302,Justin And Mandy,,South End,42.34136,-71.07858,Entire home/apt,217,14,0,,,35,326,0,Exempt: This listing is a hotel or motel
662231064185723309,"Downtown Loft 2 Bedroom, Location",37907846,Boston,,Leather District,42.3504614,-71.0579946,Entire home/apt,,30,3,2023-12-31,0.24,7,0,2,
663554848165356274,"Blueground | N Station, gym & w/d, nr td garden",107434423,Blueground,,Downtown,42.365947,-71.063473,Entire home/apt,178,32,0,,,372,253,0,
663557367450319424,"Blueground | N. Station, w/d & gym, nr td garden",107434423,Blueground,,Downtown,42.365947,-71.063473,Entire home/apt,179,32,0,,,372,268,0,
664601123005873489,Loft Penthouse Steps Off Broadway!,40548611,Andrey,,South Boston,42.33599,-71.04715,Entire home/apt,321,2,16,2023-12-10,0.88,1,80,12,STR-485648
665375792698869155,Immaculate Condo w/ Outdoor Patio & Office,86525716,Gabby,,South Boston,42.3313418,-71.05488249999999,Entire home/apt,495,29,8,2023-10-15,0.41,1,356,3,STR-484179
665822089820131536,Karlie’s Place mini suite,192503522,Esther,,Mattapan,42.2751934,-71.094881,Private room,90,29,20,2023-10-28,1.75,2,337,20,STR-518065
666008134174509650,Sunny 3 bed. Bu BC Harvard Boston landing&Hospit.,412792920,Sheila,,Allston,42.35652,-71.13679,Entire home/apt,250,2,29,2024-03-17,1.93,2,167,28,STR-511359
666076095878120193,"Downtown, All to Yourself! Private Loft",37907846,Boston,,Leather District,42.35021,-71.05918,Private room,175,29,1,2022-11-18,0.06,7,327,0,
666183298864581824,Nice 1 bed apt with extra bed @living room boston,373675137,Liya,,Beacon Hill,42.3583,-71.0693,Entire home/apt,75,29,3,2024-02-12,0.30,48,122,3,
666383993088270320,"Blueground | Longwood, nr mission park",107434423,Blueground,,Mission Hill,42.32992410000001,-71.1043268,Entire home/apt,112,32,0,,,372,145,0,
666718114959412512,Lovely Fenway 1br | New to Airbnb!,275849638,Steven,,Fenway,42.34782782682846,-71.09417717227724,Entire home/apt,258,1,112,2024-03-03,5.38,72,346,66,STR-438668
668249943100869998,2 bedroom dog friendly townhouse with peloton,42852577,Erica,,Roslindale,42.27903999999999,-71.12093899999999,Entire home/apt,125,91,0,,,1,208,0,
668800598988690151,Boston Back Bay Apt with fast wifi & great extras!,423270067,Harry And Susie,,Back Bay,42.34345,-71.08155,Entire home/apt,517,29,1,2022-10-23,0.06,27,310,0,Exempt: This listing is a unit used for furnished institutional or business stays
668804688861479022,Perfect Location! Great Amenities Included!,423270067,Harry And Susie,,Back Bay,42.34554,-71.08309,Entire home/apt,638,1,0,,,27,312,0,Exempt: This listing is a hotel or motel
668818916257742515,Bright & Cozy Studio w/free Parking and Wifi,468915585,Rosa,,Hyde Park,42.2678,-71.12603,Private room,70,29,3,2023-11-30,0.17,1,148,1,
668877697630181000,Amazing Beacon Hill three bed two bath apt,373675137,Liya,,Beacon Hill,42.35979,-71.06557,Entire home/apt,115,29,4,2024-03-24,0.48,48,131,4,
669596090655013207,Copley House - Premium Studio,85130,Copley,,South End,42.34408,-71.07934,Private room,285,1,14,2024-01-28,0.81,6,334,8,STR-447236
669738658809306751,Most attractive 1 bed room apt with 2 beds boston,373675137,Liya,,Beacon Hill,42.35974,-71.06582,Entire home/apt,90,29,3,2024-03-01,0.30,48,173,3,
670091887090570677,Fantastic 3 bedroom Condo.Everything is brand New!,79864748,Karolina,,Mattapan,42.2736,-71.07226,Entire home/apt,229,2,14,2024-02-24,1.39,3,350,14,STR-478958
670091950992430240,Lovely Studio unit. Everything new!,79864748,Karolina,,Mattapan,42.27173,-71.07147,Entire home/apt,139,2,32,2023-11-06,1.57,3,296,12,STR-478958
670105594005404482,"Blueground | Back Bay, w/d, nr green line",107434423,Blueground,,Back Bay,42.3496453,-71.0813703,Entire home/apt,145,32,0,,,372,94,0,
670516883910999694,Lovely beacon hill one bed room apt with two beds,373675137,Liya,,Beacon Hill,42.36029,-71.06609,Entire home/apt,80,29,3,2023-12-16,0.21,48,172,2,
